Store #,Store Name,Store Address,Store City,Store ZIp,Store Phone,Store Fax,State,Div #,Division Name,Reg #,Region,DM #,DM Name,Mkt #,Market Name,BYO #,BYO Name,Store Open Date,Square Footage,LAT1,LONG1,ts_datetime,District#
3810,"CANTON, OH",4873 PORTAGE ST,CANTON,44720,330-497-1810,330-649-4016,OH,4,NORTHERN,25,OHIO VALLEY,104,MICHAEL L COLLINS ,139,CLEVELAND,7,MIDWEST,00:00.0,113967,40.8814882,-81.4374014,00:00.0,104
6218,NEW HARTFORD,1580 LITCHFIELD TPKE,NEW HARTFORD,6057,860-496-8620,860-626-6376,CT,4,NORTHERN,27,NEW ENGLAND,254,BRYAN A WILLIAMS ,10,HARTFORD/S CONN,3,NORTHEAST,00:00.0,99536,41.8223946,-73.068624,00:00.0,64
1127,SW GREENVILLE,1339 S PLEASANTBURG DR,GREENVILLE,29605,864-236-0197,864-236-1416,SC,1,SOUTHERN,17,SOUTH ATLANTIC,136,BOBBY K BOAEN ,26,COL/GRNVLL/SPTNBG,1,SOUTHEAST,00:00.0,115469,34.8006173,-82.374874,00:00.0,136
947,BRIDGEWATER - RT 28,400 PROMENADE BLVD,BRIDGEWATER,8807,732-469-5883,732-748-6516,NJ,4,NORTHERN,16,NJ METRO,277,DOREL I BARBOS ,15,NEW JERSEY,3,NORTHEAST,00:00.0,116369,40.5642426,-74.5540714,00:00.0,193
3313,SPANISH SPRINGS,4655 GALLERIA PKWY,SPARKS,89436,775-354-2245,775-626-3173,NV,2,WESTERN,5,PACIFIC NORTH,116,STEVEN E MITCHELL ,63,RENO,5,PACIFIC,00:00.0,102513,39.5780637,-119.7422211,00:00.0,116
4627,SW RICHMOND,12300 CHATTANOOGA PLAZA,MIDLOTHIAN,23112,804-744-6311,804-763-5437,VA,1,SOUTHERN,17,SOUTH ATLANTIC,149,MATTHEW B GILREATH ,176,RICHMOND,1,SOUTHEAST,00:00.0,110079,37.4305586,-77.6246417,00:00.0,149
881,HOOVER,3670 GALLERIA CIRCLE,BIRMINGHAM,35244,205-988-8141,205-403-3416,AL,1,SOUTHERN,1,MIDSOUTH,78,SHERRE D HOOD ,89,BIRMINGHAM,1,SOUTHEAST,00:00.0,103974,33.3760373,-86.8114308,00:00.0,78
1085,PLACERVILLE,600 PLACERVILLE DR,PLACERVILLE,95667,530-626-9751,530-295-6573,CA,2,WESTERN,5,PACIFIC NORTH,172,GERALD M COZY ,29,SACRAMENTO,5,PACIFIC,00:00.0,96584,38.7311567,-120.8245548,00:00.0,172
2686,"SALEM,MA",50 TRADERS WAY,SALEM,1970,978-741-9299,978-740-1416,MA,4,NORTHERN,27,NEW ENGLAND,71,JOHN P CARR ,39,BOSTON/MA/NH,3,NORTHEAST,00:00.0,117468,42.4999061,-70.9235706,00:00.0,71
3408,CLAREMONT,451 WASHINGTON ST,CLAREMONT,3743,603-542-4471,603-543-5573,NH,4,NORTHERN,27,NEW ENGLAND,237,BRIAN P KINNEY ,260,NEW HAMPSHIRE,3,NORTHEAST,00:00.0,102513,43.3595436,-72.3102518,00:00.0,237
632,SAN MATEO,2001 CHESS DR,SAN MATEO,94404,650-525-9343,650-570-3416,CA,2,WESTERN,5,PACIFIC NORTH,50,MONICA L REED ,21,SAN FRANCISCO BAY,5,PACIFIC,00:00.0,107622,37.5637662,-122.2808212,00:00.0,50
529,S FORT WORTH,7950 SOUTH FWY,FORT WORTH,76134,817-293-0343,817-615-4116,TX,1,SOUTHERN,11,SOUTHWEST,151,LEONARD J GASPARI ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,108002,32.6333413,-97.3237778,00:00.0,151
1859,ELDORADO-WEBSTER (R0567),18251 GULF FREEWAY,WEBSTER,77598,281-488-2274,281-488-1091,TX,1,SOUTHERN,19,GULF,92,JAMISON S MURABITO ,8,HOUSTON,11,SOUTHWEST,00:00.0,114700,29.5571056,-95.1531181,00:00.0,92
2619,"GREENFIELD,MA",264 MOHAWK TRAIL - RT 2,GREENFIELD,1301,413-773-9150,413-775-5613,MA,4,NORTHERN,27,NEW ENGLAND,123,JASON M WORRELL ,272,INDIAN ORCHARD,3,NORTHEAST,00:00.0,69340,42.5847889,-72.6278495,00:00.0,237
3915,SW TULSA,8880 S DELAWARE AVENUE,TULSA,74137,918-299-3028,918-296-1073,OK,1,SOUTHERN,11,SOUTHWEST,262,  ,58,OKLAHOMA CITY,11,SOUTHWEST,00:00.0,102513,36.0345308,-95.9514517,00:00.0,262
625,SAN LEANDRO,1933 DAVIS ST,SAN LEANDRO,94577,510-636-9600,510-636-9224,CA,2,WESTERN,5,PACIFIC NORTH,295,JACOB B CRAIL ,21,SAN FRANCISCO BAY,5,PACIFIC,00:00.0,138272,37.7168282,-122.179551,00:00.0,295
273,VENICE,2450 JACARANDA BLVD,VENICE,34293,941-408-9400,941-492-4416,FL,1,SOUTHERN,24,SOUTHEAST,115,CHRIS L ARNOLD ,25,FT.MYERS/NAPLES,1,SOUTHEAST,00:00.0,101500,27.0526977,-82.394605,00:00.0,115
3003,BRIDGETON,11215 ST CHARLES ROCK RD,BRIDGETON,63044,314-291-5288,314-209-5416,MO,4,NORTHERN,8,CENTRAL,80,SCOTT W PHILP ,109,ST. LOUIS,7,MIDWEST,00:00.0,111847,38.7401551,-90.3990067,00:00.0,80
2403,"AUBURN, ME",149 MT AUBURN AVE,AUBURN,4210,207-777-0042,207-755-1416,ME,4,NORTHERN,27,NEW ENGLAND,176,JASON T PHILLIPS ,112,MAINE,3,NORTHEAST,00:00.0,114670,44.1226545,-70.2399066,00:00.0,176
6925,SHOREWOOD,621 BROOKFOREST AVE,SHOREWOOD,60404,815-725-6301,815-741-5413,IL,4,NORTHERN,8,CENTRAL,48,SATISH KUMAR ,75,CHICAGO,7,MIDWEST,00:00.0,102455,41.5334084,-88.2022122,00:00.0,48
2755,BEAR CREEK,1700 ANDERSON RD,PETOSKEY,49770,231-439-5300,231-439-3966,MI,4,NORTHERN,48,MIDWEST,197,MARK C ANZARUT ,127,UPPER PENINSULA,7,MIDWEST,00:00.0,121196,45.3521601,-84.973648,00:00.0,197
6310,N HOLLYWOOD/STIRLING,3401 OAKWOOD BLVD,HOLLYWOOD,33020,954-922-7886,954-924-2416,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,266,RUBEN RODRIGUEZ ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,119727,26.0417395,-80.1605975,00:00.0,266
362,HARAHAN,5151 CITRUS BLVD,HARAHAN,70123,504-729-4400,504-736-3716,LA,1,SOUTHERN,1,MIDSOUTH,4,FRANK J WEBB ,5,NEW ORLEANS,11,SOUTHWEST,00:00.0,101860,29.9654528,-90.1867165,00:00.0,4
4640,ANNANDALE,6555 LITTLE RIVER TRNPKE,ALEXANDRIA,22312,703-642-3660,703-333-6416,VA,4,NORTHERN,10,MID-ATLANTIC,278,LARRY C HARTLEY ,43,WASHINGTON DC,3,NORTHEAST,00:00.0,103950,38.8209631,-77.1624699,00:00.0,278
4643,GENERAL BOOTH,2324 ELSON GREEN AVENUE,VIRGINIA BEACH,23456,757-430-6872,757-430-5133,VA,1,SOUTHERN,17,SOUTH ATLANTIC,118,DON A MCCOURT ,177,NORFOLK,1,SOUTHEAST,00:00.0,108000,36.7582007,-76.0112549,00:00.0,118
4406,W VALLEY CITY,4581 S 4000 W,WEST VALLEY CITY,84120,801-963-4700,801-963-7016,UT,2,WESTERN,5,PACIFIC NORTH,326,JAMES M TANNER ,76,UTAH,12,NORTHWEST,00:00.0,105700,40.6703497,-111.9839321,00:00.0,326
6857,STEELYARD,3355 STEELYARD DRIVE,CLEVELAND,44109,216-741-6123,216-485-0473,OH,4,NORTHERN,25,OHIO VALLEY,117,JOHN E LERCH JR,139,CLEVELAND,7,MIDWEST,00:00.0,103361,41.4623773,-81.6884453,00:00.0,117
4168,HANOVER,400 EISENHOWER DRIVE,HANOVER,17331,717-646-0140,717-633-3474,PA,4,NORTHERN,16,NJ METRO,153,ROBERT A HOMMERBOCKER ,68,PENNSYLVANIA,3,NORTHEAST,00:00.0,102513,39.8269387,-76.9819034,00:00.0,153
133,CARTERSVILLE,100 GENTILLY BLVD,CARTERSVILLE,30120,770-606-0298,770-607-1146,GA,1,SOUTHERN,1,MIDSOUTH,2,MARIA T CHAPMAN ,1,ATLANTA,1,SOUTHEAST,00:00.0,108000,34.1855754,-84.7877765,00:00.0,2
6651,LANCASTER,44226 20TH ST WEST,LANCASTER,93534,661-951-3669,661-951-2416,CA,2,WESTERN,6,PACIFIC CENTRAL,325,MICHAEL B MILLANPONCE ,48,LA,5,PACIFIC,00:00.0,107800,34.6864766,-118.1642842,00:00.0,325
2221,HAYS,1310 E 41ST STREET,HAYS,67601,785-625-0044,785-624-6223,KS,4,NORTHERN,30,NORTHERN PLAINS,259,TIM E HODGES ,582,HAYS,7,MIDWEST,00:00.0,102513,38.8978321,-99.3125693,00:00.0,259
6346,JACKSONVILLE (LANE AVE),855 LANE AVE SOUTH,JACKSONVILLE,32205,904-781-6208,904-783-7796,FL,1,SOUTHERN,24,SOUTHEAST,8,WILLIAM J RAYA JR,14,JACKSONVILLE,1,SOUTHEAST,00:00.0,110860,30.3101966,-81.7499035,00:00.0,8
2404,"AUGUSTA, ME",26 STEPHEN KING DR,AUGUSTA,4330,207-621-6888,207-629-6416,ME,4,NORTHERN,27,NEW ENGLAND,176,JASON T PHILLIPS ,112,MAINE,3,NORTHEAST,00:00.0,114757,44.3462089,-69.7864806,00:00.0,176
472,N SCOTTSDALE,15499 N HAYDEN RD,SCOTTSDALE,85260,480-991-3738,480-348-7416,AZ,2,WESTERN,34,PAC MTN DESERT,130,ERIC P HAGSTROM ,6,PHOENIX,5,PACIFIC,00:00.0,109068,33.6253486,-111.8966431,00:00.0,130
6235,SOUTH SOUTHINGTON,1816 MERIDEN WTRBY TPKE,SOUTHINGTON,6489,860-276-6837,860-620-8413,CT,4,NORTHERN,27,NEW ENGLAND,32,STEVEN W LONGMOORE II,10,HARTFORD/S CONN,3,NORTHEAST,00:00.0,102513,41.561654,-72.9078794,00:00.0,64
903,S PLAINFIELD,3100 HAMILTON BLVD,SOUTH PLAINFIELD,7080,732-752-5900,732-424-2617,NJ,4,NORTHERN,16,NJ METRO,193,MARK D SALTARELLI ,15,NEW JERSEY,3,NORTHEAST,00:00.0,103588,40.5586634,-74.4329193,00:00.0,193
8954,DUBLIN,1833 VETERANS BLVD,DUBLIN,31021,478-272-4869,478-277-8078,GA,1,SOUTHERN,24,SOUTHEAST,58,TIMOTHY A PARDUE ,447,ATLANTA TEMP,1,SOUTHEAST,00:00.0,102513,32.5411782,-82.9417448,00:00.0,232
3887,NEWARK,1330 N 21ST STREET,NEWARK,43055,740-364-1241,740-364-7414,OH,4,NORTHERN,25,OHIO VALLEY,141,STEPHANIE A OURS ,157,"COLUMBUS,OH",7,MIDWEST,00:00.0,102513,40.0833267,-82.4244937,00:00.0,141
537,EULESS,251 S INDUSTRIAL BLVD,EULESS,76040,817-545-3000,817-868-2496,TX,1,SOUTHERN,11,SOUTHWEST,151,LEONARD J GASPARI ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,102370,32.8349353,-97.0983529,00:00.0,151
611,GARDENA,740 182ND STREET,GARDENA,90248,310-324-7100,310-354-7396,CA,2,WESTERN,6,PACIFIC CENTRAL,62,ROBERT F JOANOU ,48,LA,5,PACIFIC,00:00.0,139962,33.8682626,-118.286931,00:00.0,62
2801,MAPLEWOOD,2360 WHITE BEAR AVE NO,MAPLEWOOD,55109,651-770-9600,651-773-4776,MN,4,NORTHERN,30,NORTHERN PLAINS,103,ERIC V BURG ,101,MINNESOTA,7,MIDWEST,00:00.0,103580,45.012645,-93.0172501,00:00.0,103
6320,E PALM BEACH LAKES,1550 PALM BCH LAKES BLVD,WEST PALM BEACH,33401,561-683-7221,561-242-1566,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,86,JUAN A LOPEZ ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,110860,26.7224469,-80.0789251,00:00.0,86
3828,EAST COLUMBUS,5200 HAMILTON RD,COLUMBUS,43230,614-939-5036,614-855-6450,OH,4,NORTHERN,25,OHIO VALLEY,141,STEPHANIE A OURS ,157,"COLUMBUS,OH",7,MIDWEST,00:00.0,122554,40.0633086,-82.8611884,00:00.0,141
1937,SCHERERVILLE,960 US HIGHWAY 41,SCHERERVILLE,46375,219-322-1651,219-864-6416,IN,4,NORTHERN,8,CENTRAL,242,CHARLES M REASONOVA ,75,CHICAGO,7,MIDWEST,00:00.0,115250,41.5049909,-87.4728517,00:00.0,242
2915,PICAYUNE,2000 HWY 43 SOUTH,PICAYUNE,39466,601-749-2180,601-799-4018,MS,1,SOUTHERN,1,MIDSOUTH,132,PATRICIA R STODDARD ,508,STORE 2915,11,SOUTHWEST,00:00.0,62719,30.5149123,-89.6578963,00:00.0,132
4159,ROSS TOWNSHIP,999 ROSS PARK MALL DR,PITTSBURGH,15237,412-367-7346,412-367-6016,PA,4,NORTHERN,25,OHIO VALLEY,75,JASON D GAGE ,106,PITTSBURGH,7,MIDWEST,00:00.0,116566,40.5448116,-80.011799,00:00.0,75
4935,HUDSON,2330 CREST VIEW DRIVE,HUDSON,54016,715-531-1416,715-377-9013,WI,4,NORTHERN,30,NORTHERN PLAINS,103,ERIC V BURG ,101,MINNESOTA,7,MIDWEST,00:00.0,94090,44.9579439,-92.7243129,00:00.0,103
4181,MARPLE,700 REED ROAD,BROOMALL,19008,610-356-3927,610-355-3413,PA,4,NORTHERN,10,MID-ATLANTIC,95,TIMOTHY E MCCARTHY ,34,PHIL/PA/NJ/DE,3,NORTHEAST,00:00.0,89480,39.9591435,-75.3533091,00:00.0,95
478,MARANA (NW TUCSON),3925 W COSTCO DR,TUCSON,85741,520-575-8750,520-877-9416,AZ,2,WESTERN,34,PAC MTN DESERT,60,JENNIPHER M WILLIAMS ,6,PHOENIX,5,PACIFIC,00:00.0,110474,32.3285387,-111.0504643,00:00.0,60
1108,E SPARTANBURG,2300 E MAIN STREET,SPARTANBURG,29307,864-579-0382,864-237-6713,SC,1,SOUTHERN,17,SOUTH ATLANTIC,136,BOBBY K BOAEN ,26,COL/GRNVLL/SPTNBG,1,SOUTHEAST,00:00.0,102513,34.9799836,-81.8751161,00:00.0,136
4737,"COVINGTON,WA",27027 185TH AVE SE,COVINGTON,98042,253-638-0258,253-638-9024,WA,2,WESTERN,12,PACIFIC NORTHWEST,19,JACKI D MCCORD ,44,SEA/TAC,12,NORTHWEST,00:00.0,102513,47.3596678,-122.0973515,00:00.0,19
6004,SHERIDAN,2050 COFFEEN AVENUE,SHERIDAN,82801,307-674-6669,307-674-3413,WY,2,WESTERN,34,PAC MTN DESERT,77,DAVID A LATAILLE ,548,SHERIDAN,12,NORTHWEST,00:00.0,102513,44.7742296,-106.9458743,00:00.0,77
2614,"READING,MA",60 WALKERS BROOK DRIVE,READING,1867,781-944-6423,781-942-8613,MA,4,NORTHERN,27,NEW ENGLAND,71,JOHN P CARR ,39,BOSTON/MA/NH,3,NORTHEAST,00:00.0,133278,42.5203824,-71.09059,00:00.0,263
2682,"AUBURN,MA",779 WASHINGTON STREET,AUBURN,1501,508-721-2247,508-721-4216,MA,4,NORTHERN,27,NEW ENGLAND,123,JASON M WORRELL ,39,BOSTON/MA/NH,3,NORTHEAST,00:00.0,116377,42.180911,-71.8557892,00:00.0,123
4619,CHESAPEAKE,1400 TINTERN LANE,CHESAPEAKE,23320,757-548-8478,757-548-7416,VA,1,SOUTHERN,17,SOUTH ATLANTIC,118,DON A MCCOURT ,177,NORFOLK,1,SOUTHEAST,00:00.0,108683,36.7646325,-76.2553952,00:00.0,118
6646,HUNTINGTON BEACH II,7100 WARNER AVE,HUNTINGTON BEACH,92647,714-596-2944,714-375-3496,CA,2,WESTERN,20,PACIFIC SOUTH,25,TIMOTHY J JENKINS ,48,LA,5,PACIFIC,00:00.0,105606,33.7142057,-118.0051759,00:00.0,25
2785,THREE RIVERS,1301 S US HIGHWAY 131,THREE RIVERS,49093,269-273-5250,269-279-1373,MI,4,NORTHERN,48,MIDWEST,179,MATTHEW T CRAMER ,416,RURAL NORTHERN EAST,7,MIDWEST,00:00.0,62719,41.9303011,-85.6502864,00:00.0,275
6871,TITUSVILLE,3373 RONALD MCNAIR WAY,TITUSVILLE,32780,321-383-8334,321-383-7214,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,128,CHRIS J MANGINO ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,102513,28.5517471,-80.8457356,00:00.0,128
3650,KITTY HAWK,5300 N CROATAN HWY,KITTY HAWK,27949,252-261-4115,252-255-2523,NC,1,SOUTHERN,17,SOUTH ATLANTIC,118,DON A MCCOURT ,303,"OUTER BANKS, NC",1,SOUTHEAST,00:00.0,117275,36.098136,-75.7176725,00:00.0,118
1501,"AURORA, CO",14001 E MISSISSIPPI AVE,AURORA,80012,303-743-7557,303-671-2316,CO,2,WESTERN,34,PAC MTN DESERT,214,DANNY VASQUEZ ,51,COLORADO,12,NORTHWEST,00:00.0,107446,39.6984976,-104.8248243,00:00.0,214
363,LAKE CHARLES,3200 E PRIEN LAKE RD,LAKE CHARLES,70615,337-475-9998,337-475-7436,LA,1,SOUTHERN,1,MIDSOUTH,238,JAMES HICKINGBOTTOM ,160,LAKE CHARLES/BEAUMONT,11,SOUTHWEST,00:00.0,106300,30.1970517,-93.1706484,00:00.0,238
3604,GREENSBORO,4425 W WENDOVER AVE,GREENSBORO,27407,336-218-0655,336-218-7416,NC,1,SOUTHERN,17,SOUTH ATLANTIC,207,MELVIN T FORMAN ,282,DURHAM/RALEIGH,1,SOUTHEAST,00:00.0,134206,36.0542077,-79.900298,00:00.0,207
3847,ROCKY RIVER,21669 CENTER RIDGE RD,ROCKY RIVER,44116,440-895-4420,440-895-4416,OH,4,NORTHERN,25,OHIO VALLEY,117,JOHN E LERCH JR,139,CLEVELAND,7,MIDWEST,00:00.0,82623,41.4575332,-81.8607234,00:00.0,117
1088,MADERA,2155 N SCHNOOR ST,MADERA,93637,559-675-0127,559-661-3613,CA,2,WESTERN,6,PACIFIC CENTRAL,327,MICHELLE CORTEZ ,29,SACRAMENTO,5,PACIFIC,00:00.0,102513,36.9803148,-120.0851589,00:00.0,327
6207,"MANCHESTER, CT",80 BUCKLAND HILLS DR,MANCHESTER,6042,860-644-5588,860-644-7862,CT,4,NORTHERN,27,NEW ENGLAND,64,SHAY F THOMAS ,10,HARTFORD/S CONN,3,NORTHEAST,00:00.0,106500,41.8062199,-72.5528333,00:00.0,64
4188,KING OF PRUSSIA,181 S GULPH ROAD,KING OF PRUSSIA,19406,610-265-7380,610-205-3273,PA,4,NORTHERN,10,MID-ATLANTIC,95,TIMOTHY E MCCARTHY ,34,PHIL/PA/NJ/DE,3,NORTHEAST,00:00.0,114700,40.081887,-75.3855122,00:00.0,188
6852,PEMBROKE PINES (R0259),11001 PINES BLVD,PEMBROKE PINES,33026,954-437-2902,954-437-0519,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,85,CHRISTOPHER FRAGA ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,114700,26.0098871,-80.2941349,00:00.0,85
205,LAKE WORTH,4241 LAKE WORTH RD,LAKE WORTH,33461,561-642-2626,561-434-2416,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,154,TROY S CRAWFORD ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,102010,26.6194211,-80.1093242,00:00.0,154
1272,"HUNTINGTON,NY",785 NEW YORK AVENUE,HUNTINGTON,11743,631-424-9170,631-547-2416,NY,4,NORTHERN,31,NY METRO,35,MARK A ESPOSITO ,20,LONG ISLAND,3,NORTHEAST,00:00.0,114675,40.8570775,-73.4203639,00:00.0,36
4905,LA CROSSE,2927 MARKET PLACE,ONALASKA,54650,608-392-1400,608-392-1426,WI,4,NORTHERN,30,NORTHERN PLAINS,267,DAVID M BUSCH ,101,MINNESOTA,7,MIDWEST,00:00.0,121655,43.8798391,-91.1862965,00:00.0,195
6842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,CUMMING,1000 MARKET PL BLVD,CUMMING,30041,770-888-8135,770-888-7416,GA,1,SOUTHERN,1,MIDSOUTH,235,WILLIAM R SALEMI JR,1,ATLANTA,1,SOUTHEAST,00:00.0,101484,34.1799296,-84.1301452,00:00.0,235
1976,LINCOLN PARK,2665 N HALSTED STREET,CHICAGO,60614,773-472-7740,773-880-1423,IL,4,NORTHERN,8,CENTRAL,65,MANUEL ROMERO ,318,LINCOLN PARK,35,SMS NORTHERN,00:00.0,91288,41.9309519,-87.6487005,00:00.0,65
456,SUPERSTITION,6838 E SUPERSTITION SPRG,MESA,85209,480-981-6405,480-642-4319,AZ,2,WESTERN,34,PAC MTN DESERT,66,CLAYTON P BROWN ,6,PHOENIX,5,PACIFIC,00:00.0,102016,33.3853322,-111.6833837,00:00.0,66
4171,BLOOMSBURG,9 GUS AVENUE,BLOOMSBURG,17815,570-387-8429,570-389-7813,PA,4,NORTHERN,16,NJ METRO,318,DAVID W BUSSIERE JR,68,PENNSYLVANIA,3,NORTHEAST,00:00.0,94887,41.0193861,-76.4930505,00:00.0,318
403,LAKE HAVASU CITY,100 RETAIL CENTRE BLVD,LAKE HAVASU CITY,86404,928-764-5111,928-764-4116,AZ,2,WESTERN,34,PAC MTN DESERT,18,DESTINY M KING ,6,PHOENIX,5,PACIFIC,00:00.0,105700,34.5616349,-114.3632118,00:00.0,18
2554,OXON HILL,6003 OXON HILL ROAD,OXON HILL,20745,301-839-9600,301-749-0416,MD,4,NORTHERN,10,MID-ATLANTIC,201,JOSE A ZUNIGA JR,43,WASHINGTON DC,3,NORTHEAST,00:00.0,103200,38.8061787,-76.9752585,00:00.0,201
1089,RIDGECREST,575 N CHINA LAKE BLVD,RIDGECREST,93555,760-375-4614,760-371-3821,CA,2,WESTERN,6,PACIFIC CENTRAL,325,MICHAEL B MILLANPONCE ,48,LA,5,PACIFIC,00:00.0,67022,35.6309335,-117.6713058,00:00.0,325
748,MANCHESTER,187 ROBERTS BLVD,MANCHESTER,37355,931-728-1224,931-723-8379,TN,1,SOUTHERN,17,SOUTH ATLANTIC,120,REBECCA J YOUNG ,466,SM-TENNESSEE,39,NCD-SMALL MKT-SOUTHERN,00:00.0,47895,35.4520174,-86.0435821,00:00.0,120
1906,ORLAND PARK,7300 W 159TH STREET,ORLAND PARK,60462,708-614-9200,708-802-5416,IL,4,NORTHERN,8,CENTRAL,98,JOAN L MORRIS ,75,CHICAGO,7,MIDWEST,00:00.0,112716,41.6037036,-87.7964988,00:00.0,98
3638,CORNELIUS,17111 STATESVILLE ROAD,CORNELIUS,28031,704-987-0490,704-987-3276,NC,1,SOUTHERN,17,SOUTH ATLANTIC,31,TARA L TUCKER ,45,CHARLOTTE,1,SOUTHEAST,00:00.0,108237,35.449452,-80.867928,00:00.0,31
6545,LONGVIEW,411 E LOOP 281,LONGVIEW,75605,903-757-4208,903-242-0496,TX,1,SOUTHERN,11,SOUTHWEST,282,ADAM D BRYANT ,249,LONGVIEW,11,SOUTHWEST,00:00.0,107898,32.5442286,-94.7350199,00:00.0,282
1250,NEWBURGH,1220 ROUTE 300,NEWBURGH,12550,845-561-6540,845-563-9016,NY,4,NORTHERN,16,NJ METRO,105,DARYL J HAGEN ,65,WAPPING/WALLKILL,3,NORTHEAST,00:00.0,114012,41.499256,-74.0693241,00:00.0,277
1866,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6537,MESQUITE,18855 LYNDON B JOHNSON,MESQUITE,75150,972-682-6294,972-698-3416,TX,1,SOUTHERN,11,SOUTHWEST,37,GABRIEL TAVARES ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,112000,32.800199,-96.6294364,00:00.0,37
